Processor_Name,Processor_ID,CPU_Mark
INTELPENTIUM41300MHZ,CPU1,77
VIAEDEN1000MHZ,CPU2,80
INTELPENTIUM41500MHZ,CPU3,81
INTELPENTIUM41400MHZ,CPU4,83
INTELPENTIUM41.60GHZ,CPU5,84
INTELPENTIUM41.50GHZ,CPU6,86
INTELPENTIUM41.70GHZ,CPU7,86
ARMCORTEXA72CORE960MHZ,CPU8,93
VIAEDEN1200MHZ,CPU9,93
VIAESTHER1000MHZ,CPU10,95
INTELCELERON1.80GHZ,CPU11,96
INTELPENTIUMIIIMOBILE866MHZ,CPU12,99
INTELPENTIUM41700MHZ,CPU13,100
INTELCELERON1.70GHZ,CPU14,101
VIANEHEMIAH,CPU15,101
INTELPENTIUM41.90GHZ,CPU16,104
INTELCELERONB710,CPU17,106
VIAC7M1200MHZ,CPU18,112
INTELCELERON1100MHZ,CPU19,113
INTELPENTIUM41800MHZ,CPU20,114
INTELPENTIUM4MOBILE1.80GHZ,CPU21,114
INTELPENTIUM41.80GHZ,CPU22,115
INTELPENTIUM4MOBILE1.60GHZ,CPU23,116
VIAC7M1600MHZ,CPU24,116
MOBILEINTELCELERON1.70GHZ,CPU25,118
INTELPENTIUMIIIMOBILE800MHZ,CPU26,119
MOBILEINTELPENTIUM4M1.80GHZ,CPU27,119
AMDGT40R,CPU28,120
MOBILEINTELCELERON1.80GHZ,CPU29,121
MOBILEINTELPENTIUM4M1.70GHZ,CPU30,121
INTELATOMZ520,CPU31,122
INTELCELERONM410,CPU32,123
INTELCELERONM900MHZ,CPU33,123
AMDSEMPRON200U,CPU34,125
INTELCELERON2.00GHZ,CPU35,125
INTELCELERONM443,CPU36,125
INTELCORESOLOU1300,CPU37,127
AMDGT44R,CPU38,130
INTELCORESOLOU1400,CPU39,130
MOBILEINTELPENTIUMIIIM933MHZ,CPU40,130
INTELPENTIUM42.40GHZ,CPU41,131
INTELPENTIUM4MOBILE2.00GHZ,CPU42,132
INTELPENTIUM42.00GHZ,CPU43,133
MOBILEINTELCELERON2.00GHZ,CPU44,133
VIAESTHER1500MHZ,CPU45,135
INTELPENTIUM4MOBILE1.90GHZ,CPU46,136
MOBILEINTELPENTIUM4M2.00GHZ,CPU47,138
INTELCELERON1000MHZ,CPU48,139
INTELCELERON2.20GHZ,CPU49,139
INTELCELERONM420,CPU50,139
MOBILEINTELPENTIUM4M2.40GHZ,CPU51,139
INTELPENTIUMM900MHZ,CPU52,141
ARMCORTEXA72CORE1080MHZ,CPU53,142
INTELCELERON2.40GHZ,CPU54,143
INTELCELERON2.60GHZ,CPU55,143
MOBILEINTELPENTIUM4M2.20GHZ,CPU56,143
VIAC7M6300MHZ,CPU57,145
MOBILEINTELPENTIUMIIIM1200MHZ,CPU58,146
MOBILEINTELCELERON2.20GHZ,CPU59,147
INTELCELERON2.30GHZ,CPU60,148
INTELCELERONM1.00GHZ,CPU61,149
INTELPENTIUM42.93GHZ,CPU62,150
VIAC7D1800MHZ,CPU63,150
INTELPENTIUM42.26GHZ,CPU64,151
INTELXEON2.00GHZ,CPU65,152
INTELATOMN435,CPU66,153
AMDATHLON642000+,CPU67,154
INTELCELERON2.66GHZ,CPU68,154
INTELPENTIUM43.83GHZ,CPU69,154
MOBILEINTELCELERON2.40GHZ,CPU70,154
INTELPENTIUMM1200MHZ,CPU71,155
INTELPENTIUMIIIMOBILE1200MHZ,CPU72,156
INTELPENTIUMM1000MHZ,CPU73,156
INTELPENTIUM42.20GHZ,CPU74,157
INTELPENTIUM42.66GHZ,CPU75,157
INTELATOMZ670,CPU76,158
INTELCELERON1200MHZ,CPU77,159
INTELCELERON2.70GHZ,CPU78,159
INTELPENTIUM42.50GHZ,CPU79,160
INTELPENTIUMIIIMOBILE1066MHZ,CPU80,160
INTELPENTIUM42.53GHZ,CPU81,162
INTELCELERON2.50GHZ,CPU82,164
INTELCORESOLOU1500,CPU83,164
INTELPENTIUMIIIMOBILE1133MHZ,CPU84,164
INTELXEON2.20GHZ,CPU85,164
MOBILEAMDSEMPRON2100+,CPU86,164
VIANANOL2207,CPU87,165
INTELCELERON2.13GHZ,CPU88,166
AMDATHLONXP1500+,CPU89,167
INTELCELERONM430,CPU90,169
INTELCELERONM440,CPU91,169
MOBILEAMDATHLONXPM1600+,CPU92,169
MOBILEAMDATHLONMPM1800+,CPU93,173
AMDATHLONXP1600+,CPU94,174
ARMCORTEXA724CORE1200MHZ,CPU95,174
INTELCELERON215,CPU96,174
INTELATOME3815,CPU97,175
INTELATOMN270,CPU98,175
INTELATOMN280,CPU99,175
AMDATHLONXP1700+,CPU100,176
AMDGT52R,CPU101,177
INTELATOMD410,CPU102,177
AMDC30,CPU103,178
INTELATOMN455,CPU104,179
INTELATOMN475,CPU105,179
VIANANOU2250,CPU106,179
INTELXEON2.40GHZ,CPU107,180
AMDE240,CPU108,182
INTELCELERON2.26GHZ,CPU109,182
MOBILEINTELPENTIUM42.66GHZ,CPU110,182
AMDATHLONXP1600+,CPU111,183
INTELATOMZ530,CPU112,183
MOBILEINTELCELERON1333MHZ,CPU113,183
AMDSEMPRON2200+,CPU114,184
AMDV105,CPU115,184
INTELPENTIUMM1.10GHZ,CPU116,184
VIANANOU3500,CPU117,184
INTELATOMN2100,CPU118,188
INTELPENTIUMM1500MHZ,CPU119,188
INTELCELERON2.80GHZ,CPU120,190
INTELCELERONM1.60GHZ,CPU121,190
AMDATHLON1500+,CPU122,191
MOBILEAMDATHLONMPM2400+,CPU123,192
INTELPENTIUMIII1400,CPU124,193
INTELPENTIUMM1600MHZ,CPU125,193
MOBILEAMDATHLONXPM1800+,CPU126,193
INTELCORESOLOT1350,CPU127,194
INTELPENTIUMIII1400S,CPU128,194
AMDATHLONXP1800+,CPU129,195
AMDATHLONXP2000+,CPU130,195
INTELPENTIUMM1.30GHZ,CPU131,196
MOBILEAMDATHLONXPM2000+,CPU132,196
AMDATHLONL110,CPU133,197
INTELCELERONM1300MHZ,CPU134,197
INTELPENTIUMM1300MHZ,CPU135,197
INTELATOMN450,CPU136,198
ARMCORTEXA724CORE1850MHZ,CPU137,199
INTELPENTIUMM1.20GHZ,CPU138,199
VIANANOU2500,CPU139,199
ARMCORTEXA534CORE1536MHZ,CPU140,202
AMDATHLONXP1900+,CPU141,203
AMDSEMPRON2400+,CPU142,205
INTELCELERONM1.30GHZ,CPU143,205
INTELPENTIUMM1.73GHZ,CPU144,205
MOBILEINTELPENTIUM42.80GHZ,CPU145,205
AMDSEMPRON2300+,CPU146,207
AMDSEMPRON2500+,CPU147,207
INTELPENTIUMM1400MHZ,CPU148,208
INTELCELERON220,CPU149,209
AMDATHLONXP2100+,CPU150,210
INTELATOM230,CPU151,210
INTELCORESOLOT1300,CPU152,210
INTELCELERON723,CPU153,213
AMDATHLONXP2200+,CPU154,214
INTELCELERONM520,CPU155,215
INTELPENTIUM42.60GHZ,CPU156,215
INTELCELERONM1.50GHZ,CPU157,216
INTELCELERONM1500MHZ,CPU158,217
INTELCOREDUOU2500,CPU159,220
MOBILEINTELPENTIUM43.06GHZ,CPU160,220
INTELCELERONM3601.40GHZ,CPU161,221
INTELATOMD425,CPU162,222
INTELCELERON2.53GHZ,CPU163,222
INTELATOMN470,CPU164,224
INTELPENTIUMM1.40GHZ,CPU165,225
MOBILEAMDATHLONXPM2400+,CPU166,225
MOBILEAMDATHLONXPM2500+,CPU167,226
INTELPENTIUMM2.26GHZ,CPU168,227
INTELPENTIUMM1.60GHZ,CPU169,229
INTELCELERON2.93GHZ,CPU170,230
INTELCELERONM450,CPU171,230
AMDATHLONXP2500+,CPU172,231
AMDSEMPRON3500+,CPU173,232
INTELCELEROND347,CPU174,232
MOBILEINTELPENTIUM43.20GHZ,CPU175,232
INTELCORE2SOLOU2100,CPU176,233
MOBILEAMDATHLON42400+,CPU177,233
AMDATHLONXP2400+,CPU178,234
INTELCELERON3.06GHZ,CPU179,234
ROCKCHIPRK3229,CPU180,234
INTELCELERON420,CPU181,235
INTELPENTIUM42.80GHZ,CPU182,236
INTELPENTIUMM1700MHZ,CPU183,237
MOBILEAMDATHLONXPM2200+,CPU184,237
MOBILEAMDSEMPRON2800+,CPU185,237
INTELPENTIUMM1.86GHZ,CPU186,238
MOBILEAMDATHLONXPM2800+,CPU187,238
MOBILEAMDATHLONXPM3000+,CPU188,238
INTELPENTIUMM1.70GHZ,CPU189,239
INTELPENTIUMSU2700,CPU190,239
INTELPENTIUMM1.50GHZ,CPU191,240
INTELCELERON807UE,CPU192,241
MOBILEAMDATHLON2500+,CPU193,241
MOBILEAMDATHLONXPM2600+,CPU194,241
AMDATHLONXP2600+,CPU195,242
AMDATHLON642600+,CPU196,243
AMDATHLONXP2400+,CPU197,243
AMDSEMPRON2800+,CPU198,243
ARMCORTEXA74CORE900MHZ,CPU199,244
MOBILEAMDSEMPRON3200+,CPU200,245
AMDTURION64MOBILEMT30,CPU201,246
AMDSEMPRONM120,CPU202,247
SAMSUNGSERRANO,CPU203,247
AMDGX210JASOC,CPU204,248
INTELPENTIUM43.06GHZ,CPU205,249
AMDSEMPRON3200+,CPU206,251
AMDSEMPRONLE1150,CPU207,251
INTELCELEROND356,CPU208,251
INTELCELERONM1.70GHZ,CPU209,252
INTELCORE2SOLOU3500,CPU210,252
MSM8960DT,CPU211,252
AMDSEMPRON2600+,CPU212,253
INTELCORESOLOT1400,CPU213,253
AMDTURION64MOBILEML28,CPU214,254
VIANANOL2007,CPU215,254
INTELCOREDUOU2400,CPU216,255
AMDATHLONXP2700+,CPU217,256
MOBILEAMDSEMPRON2600+,CPU218,256
AMDATHLONXP2800+,CPU219,260
INTELXEON2.80GHZ,CPU220,260
AMDSEMPRONSI42,CPU221,261
AMDATHLONXP3000+,CPU222,262
AMDZ60APU,CPU223,262
INTELCELERON3.33GHZ,CPU224,263
