gpu_name,gpu_class
NVIDIAGEFORCERTX3080TI,1
NVIDIARTXA5500,1
NVIDIAGEFORCERTX3080,1
NVIDIARTXA4500,1
NVIDIAGEFORCERTX3070TI,1
NVIDIARTXA5000,1
NVIDIAQUADRORTX6000,1
AMDRADEONRX6850MXT,1
AMDRADEONRX6800M,1
NVIDIAGEFORCERTX2080SUPER,1
NVIDIAGEFORCERTX3070,1
NVIDIARTXA4000,1
AMDRADEONRX6800S,1
AMDRADEONRX6700M,1
NVIDIAGEFORCERTX3080MAX-Q,1
APPLEM1MAX32-COREGPU,1
NVIDIAGEFORCERTX2080,1
NVIDIAGEFORCEGTX1080SLI,1
NVIDIAGEFORCEGTX1070SLI,1
INTELA770M,2
NVIDIAQUADRORTX5000,2
NVIDIAGEFORCERTX3070MAX-Q,2
NVIDIARTXA3000,2
APPLEM1MAX24-COREGPU,2
NVIDIAGEFORCERTX3060,2
NVIDIAGEFORCERTX2070SUPER,2
NVIDIAGEFORCERTX2080SUPERMAX-Q,2
NVIDIAQUADRORTX5000MAX-Q,2
NVIDIAGEFORCERTX2080MAX-Q,2
INTELA730M,2
NVIDIAGEFORCERTX2070,2
NVIDIAGEFORCEGTX1080,2
NVIDIAQUADRORTX4000,2
NVIDIAGEFORCERTX3060MAX-Q,2
APPLEM1PRO16-COREGPU,2
AMDRADEONRX6650MXT,2
AMDRADEONRX6650M,2
AMDRADEONRX6600M,2
AMDRADEONRX6700S,2
NVIDIAGEFORCERTX2070SUPERMAX-Q,2
NVIDIAQUADRORTX4000MAX-Q,2
APPLEM1PRO14-COREGPU,2
NVIDIAGEFORCERTX2070MAX-Q,2
NVIDIAGEFORCEGTX980SLI,2
AMDRADEONRX6600S,2
NVIDIAQUADROP5200,2
NVIDIAQUADRORTX3000,2
NVIDIAGEFORCERTX2060,2
NVIDIAQUADRORTX3000MAX-Q,2
NVIDIAGEFORCEGTX1080MAX-Q,2
NVIDIAGEFORCEGTX1070,2
NVIDIAGEFORCERTX2060MAX-Q,2
NVIDIAQUADROP4200,2
NVIDIARTXA2000,2
AMDRADEONRX5600M,2
NVIDIAQUADROP5000,2
NVIDIAGEFORCEGTX1660TI,2
NVIDIAGEFORCERTX3050TI,2
NVIDIARTXA1000,2
NVIDIAGEFORCEGTX1070MAX-Q,2
AMDRADEONPRO5600M,2
INTELA550M,2
NVIDIAGEFORCEGTX1660TIMAX-Q,2
NVIDIAQUADROP5000MAX-Q,2
NVIDIAGEFORCEGTX980MSLI,2
NVIDIAGEFORCERTX3050,2
NVIDIARTXA500,2
AMDRADEONRX6500M,2
INTELA370M,2
NVIDIAGEFORCEGTX980,2
NVIDIAQUADROM5500,2
NVIDIAGEFORCEGTX970MSLI,2
NVIDIAQUADROP4000,2
NVIDIAQUADROT2000,2
NVIDIAGEFORCEGTX1060,2
NVIDIAGEFORCEGTX1650TI,2
AMDRADEONRX5500M,2
AMDRADEONPRO5500M,2
NVIDIAQUADROP4000MAX-Q,2
NVIDIAQUADROP3200,2
AMDRADEONRX580X,2
AMDRADEONRX580,2
AMDVEGA,2
NVIDIAGEFORCERTX2050,2
NVIDIAGEFORCEMX570,2
AMDRADEONRX6300M,2
AMDRADEONPRO5300M,2
AMDRADEONRX5300M,2
NVIDIAQUADROP3000,2
NVIDIAGEFORCEGTX1650,2
NVIDIAGEFORCEGTX1060MAX-Q,2
NVIDIAQUADROP3000MAX-Q,2
NVIDIAGEFORCEGTX1650TIMAX-Q,2
NVIDIAQUADROT2000MAX-Q,2
AMDRADEONRX480,2
AMDRADEONPROWX7100,2
AMDRADEONRX570X,2
AMDRADEONRX570,2
AMDRADEONRX470,2
NVIDIAGEFORCEGTX1650MAX-Q,2
NVIDIAT1200,2
NVIDIAQUADROT1000,2
NVIDIAQUADROT1000MAX-Q,2
INTELA350M,2
NVIDIAT600,2
NVIDIAT500,2
NVIDIAGEFORCEGTX880MSLI,3
NVIDIAGEFORCEGTX780MSLI,3
AMDRADEONRX490M,3
NVIDIAGEFORCEGTX965MSLI,3
AMDRADEONR9M290XCROSSFIRE,3
AMDRADEONHD8970MCROSSFIRE,3
NVIDIAGEFORCEGTX680MSLI,3
AMDRADEONHD7970MCROSSFIRE,3
NVIDIAGEFORCEGTX980M,3
AMDVEGAMGH,3
NVIDIAQUADROM5000M,3
AMDRADEONPROVEGA20,3
NVIDIAGEFORCEGTX1050TI,3
NVIDIAGEFORCEMX550,3
AMDRADEON680M,3
NVIDIAQUADROP2000,3
NVIDIAQUADROP2000MAX-Q,3
NVIDIAQUADROM4000M,3
NVIDIAGEFORCEGTX970M,3
NVIDIAGEFORCEMX450,3
NVIDIAGEFORCEGTX860MSLI,3
NVIDIAGEFORCEGTX770MSLI,3
AMDRADEONR9M395X,3
NVIDIAGEFORCEGTX1050TIMAX-Q,3
AMDRADEONPROVEGA16,3
AMDVEGAMGL/870,3
AMDWXVEGAMGL,3
AMDRADEONR9M485X,3
AMDRADEONR9M295X,3
AMDRADEONR9M390X,3
NVIDIAQUADROM3000M,3
NVIDIAGEFORCEGTX1050,3
AMDFIREPROW7170M,3
AMDRADEONR9M395,3
NVIDIAGEFORCEGTX880M,3
NVIDIAGEFORCEGTX1050MAX-Q,3
