Laptop_ID,Brand Name,Processor_ID,Screen_Size,Resolution_ID,OS_ID,RAM,Storage_ID,gpu_name,USB_ID,price,refurbished
1,Dell,CPU3324,15.6,R3,OS1,8GB RAM,S1,INTELIRISXE,1,436.49,1
2,Lenovo,CPU1280,15.6,R3,OS2,4GB RAM,S1,AMDRADEON,1,199.99,1
3,Asus,CPU1831,15.6,R3,OS2,4GB RAM,S1,GRAPHICS,2,199.99,1
4,Lenovo,CPU2016,15.60,R1,OS1,4GB RAM,S2,INTELHD5500,1,235.99,1
5,ASUS,CPU2224,11.6,R3,OS1,4GB RAM,S2,INTELUHD,1,223.99,1
6,ASUS,CPU2701,14,R1,OS3,4GB RAM,S2,INTELUHD,2,257.99,1
7,ASUS,CPU2221,15.60,R1,OS2,4GB RAM,S2,AMDRADEONVEGA3,2,236.99,1
8,Lenovo,CPU2426,15.60,R3,OS2,4GB RAM,S2,AMDRADEONVEGA3,2,259.99,1
9,HP,CPU2093,15.60,R3,OS1,4GB RAM,S2,INTELHD4400,1,223.49,1
10,Dell,CPU2303,14,R1,OS1,8GB RAM,S2,INTELHD520,1,374.49,1
11,Lenovo,CPU1899,14,R3,OS3,4GB RAM,S2,INTELHD,2,259.99,1
12,Acer,CPU2929,14,R3,OS2,8GB RAM,S2,INTELUHD,1,389.49,1
13,ASUS,CPU3915,16,R13,OS4,16GB RAM,S8,NVIDIAGEFORCERTX3070TI8GB,3,2396.49,1
14,Lenovo,CPU2213,14,R3,OS1,8GB RAM,S4,INTELHD4600,1,151.99,1
15,Lenovo,CPU2999,14,R1,OS1,16GB RAM,S4,INTELHD520,1,428.49,1
16,Lenovo,CPU2114,14,R4,OS1,16GB RAM,S4,INTELHD5500,1,296.99,1
17,ASUS,CPU3930,14,R13,OS4,16GB RAM,S5,AMDRADEONRX6700S8GB,3,1410.49,1
18,ASUS,CPU3944,14,R11,OS4,16GB RAM,S5,AMDRADEONRX6800S8GB,3,1673.49,1
19,Acer,CPU3399,15.6,R1,OS2,8GB RAM,S5,DEDICATEDGEFORCERTX20606GB,2,1137.49,1
20,Lenovo,CPU3455,15.6,R1,OS2,16GB RAM,S5,NVIDIAGEFORCERTX2070MAXQ8GB,4,1204.99,1
21,Lenovo,CPU3615,15.6,R1,OS2,16GB RAM,S5,NVIDIAGEFORCERTX2080SUPERMAXQ8GB,4,1311.49,1
22,Lenovo,CPU3647,15.6,R1,OS2,32GB RAM,S5,NVIDIAGEFORCERTX2080SUPERMAXQ8GB,4,1745.99,1
23,MSI,CPU3798,15.6,R1,OS4,16GB RAM,S5,NVIDIAGEFORCERTX30606GB,3,1017.99,1
24,ASUS,CPU3845,16,R13,OS2,16GB RAM,S5,NVIDIAGEFORCERTX30606GB,3,1209.49,1
25,ASUS,CPU3850,15.6,R1,OS2,16GB RAM,S5,NVIDIAGEFORCERTX30708GB,3,1399.49,1
26,ASUS,CPU3850,17.3,R1,OS2,16GB RAM,S5,NVIDIAGEFORCERTX30708GB,3,1521.49,1
27,ASUS,CPU3850,15.6,R1,OS2,16GB RAM,S5,NVIDIAGEFORCERTX30708GB,2,1472.49,1
28,ASUS,CPU3873,15.6,R7,OS2,16GB RAM,S5,NVIDIAGEFORCERTX30708GB,5,1832.99,1
29,Medion,CPU3850,17.3,R5,OS4,32GB RAM,S5,NVIDIAGEFORCERTX308016GB,4,1616.49,1
30,Razer,CPU3908,14,R5,OS2,16GB RAM,S5,NVIDIAGEFORCERTX30808GB,3,1971.99,1
31,MSI,CPU4037,17.3,R1,OS4,16GB RAM,S5,NVIDIAGEFORCERTX30808GB,3,2107.49,1
32,Fujitsu,CPU3378,13.3,R1,OS1,16GB RAM,S5,INTELIRISXE,6,1235.99,1
33,Lenovo,CPU2021,14,0,OS1,8GB RAM,S6,INTELHD4400,2,175.99,1
34,Lenovo,CPU2303,14,R1,OS1,8GB RAM,S6,INTELHD520,1,285.49,1
35,Lenovo,CPU2303,14,R1,OS1,16GB RAM,S6,INTELHD520,2,313.49,1
36,HP,CPU2016,14,0,OS1,8GB RAM,S6,INTELHD5500,1,254.49,1
37,HP,CPU2303,12.5,R1,OS1,8GB RAM,S6,INTELHD5500,1,303.49,1
38,HP,CPU2303,12.5,R3,OS1,8GB RAM,S6,INTELHD5500,1,287.49,1
